Disease,Medication
Fungal infection,"['Neem oil', 'Haridra (Turmeric)', 'Manjishtha', 'Chandana (Sandalwood)', 'Tulsi']"
Allergy,"['Haridra (Turmeric)', 'Ashwagandha', 'Tulsi', 'Neem', 'Triphala']"
GERD,"['Licorice (Yashtimadhu)', 'Amla', 'Shatavari', 'Triphala', 'Guduchi']"
Chronic cholestasis,"['Kutki', 'Kalmegh', 'Bhringraj', 'Punarnava', 'Triphala']"
Drug Reaction,"['Haridra (Turmeric)', 'Amla', 'Triphala', 'Neem', 'Manjishtha']"
Peptic ulcer disease,"['Licorice (Yashtimadhu)', 'Amla', 'Shatavari', 'Guduchi', 'Musta']"
AIDS,"['Guduchi', 'Ashwagandha', 'Amalaki (Amla)', 'Neem', 'Tulsi']"
Diabetes,"['Vijaysar', 'Gudmar', 'Triphala', 'Methi (Fenugreek)', 'Amla']"
Gastroenteritis,"['Bilva', 'Dhania (Coriander)', 'Pippali', 'Shunthi (Ginger)', 'Kutaja']"
Bronchial Asthma,"['Vasa', 'Pushkarmool', 'Tulsi', 'Shunthi (Ginger)', 'Haridra (Turmeric)']"
Hypertension,"['Sarpagandha', 'Ashwagandha', 'Arjuna', 'Jatamansi', 'Brahmi']"
Migraine,"['Brahmi', 'Shankhpushpi', 'Jatamansi', 'Sarpagandha', 'Kumari (Aloe Vera)']"
Cervical spondylosis,"['Rasna', 'Guggul', 'Dashamoola', 'Shallaki', 'Ashwagandha']"
Paralysis (brain hemorrhage),"['Brahmi', 'Ashwagandha', 'Masha', 'Bala', 'Dashamoola']"
Jaundice,"['Bhringraj', 'Kutki', 'Punarnava', 'Kalmegh', 'Triphala']"
Malaria,"['Guduchi', 'Tulsi', 'Neem', 'Chirata', 'Haridra (Turmeric)']"
Chicken pox,"['Neem', 'Tulsi', 'Haridra (Turmeric)', 'Khadira', 'Chandan (Sandalwood)']"
Dengue,"['Papaya leaf extract', 'Guduchi', 'Tulsi', 'Amalaki (Amla)', 'Neem']"
Typhoid,"['Guduchi', 'Tulsi', 'Haridra (Turmeric)', 'Musta', 'Kutki']"
Hepatitis A,"['Kutki', 'Bhringraj', 'Kalmegh', 'Punarnava', 'Triphala']"
Hepatitis B,"['Kalmegh', 'Kutki', 'Bhringraj', 'Triphala', 'Punarnava']"
Hepatitis C,"['Bhringraj', 'Kutki', 'Triphala', 'Punarnava', 'Kalmegh']"
Hepatitis D,"['Kalmegh', 'Kutki', 'Bhringraj', 'Punarnava', 'Triphala']"
Hepatitis E,"['Kutki', 'Kalmegh', 'Punarnava', 'Bhringraj', 'Triphala']"
Alcoholic hepatitis,"['Kutki', 'Kalmegh', 'Bhringraj', 'Punarnava', 'Triphala']"
Tuberculosis,"['Vasa', 'Haridra (Turmeric)', 'Guduchi', 'Tulsi', 'Ashwagandha']"
Common Cold,"['Tulsi', 'Haridra (Turmeric)', 'Vasa', 'Shunthi (Ginger)', 'Guduchi']"
Pneumonia,"['Vasa', 'Pushkarmool', 'Tulsi', 'Pippali', 'Haridra (Turmeric)']"
Dimorphic hemorrhoids (piles),"['Arshoghna Vati', 'Triphala', 'Haritaki', 'Kutaja', 'Nagkesar']"
Heart attack,"['Arjuna', 'Ashwagandha', 'Sarpagandha', 'Jatamansi', 'Brahmi']"
Varicose veins,"['Arjuna', 'Guggul', 'Punarnava', 'Shallaki', 'Haritaki']"
Hypothyroidism,"['Kanchanar Guggul', 'Ashwagandha', 'Triphala', 'Shilajit', 'Gokshura']"
Hyperthyroidism,"['Shankhpushpi', 'Brahmi', 'Ashwagandha', 'Jatamansi', 'Triphala']"
Hypoglycemia,"['Guduchi', 'Methi (Fenugreek)', 'Triphala', 'Haridra (Turmeric)', 'Vijaysar']"
Osteoarthritis,"['Guggul', 'Ashwagandha', 'Shallaki', 'Triphala', 'Rasna']"
Arthritis,"['Guggul', 'Ashwagandha', 'Shallaki', 'Rasna', 'Triphala']"
Vertigo (Paroxysmal Positional),"['Brahmi', 'Shankhpushpi', 'Vacha', 'Jatamansi', 'Ashwagandha']"
Acne,"['Neem', 'Haridra (Turmeric)', 'Manjishtha', 'Aloe Vera', 'Chandan (Sandalwood)']"
Urinary tract infection,"['Punarnava', 'Gokshura', 'Varuna', 'Triphala', 'Haridra (Turmeric)']"
Psoriasis,"['Neem', 'Manjishtha', 'Khadira', 'Haridra (Turmeric)', 'Aloe Vera']"
Impetigo,"['Neem', 'Tulsi', 'Haridra (Turmeric)', 'Chandana (Sandalwood)', 'Aloe Vera']"
